Date,Close,Open,High,Low,Volume,Change
2014-12-26,162.34,162.27,163.09,162.01,1910000.0,0.0032
2014-12-29,160.51,162.0,162.34,159.45,3330000.0,-0.0113
2014-12-30,160.05,160.02,160.82,159.79,2830000.0,-0.0029
2014-12-31,160.44,160.41,161.5,160.38,4010000.0,0.0024
2015-01-02,162.06,161.31,163.31,161.0,5530000.0,0.0101
2015-01-05,159.51,161.27,161.27,159.19,4880000.0,-0.015700000000000002
2015-01-06,156.07,159.67,159.96,155.17,6150000.0,-0.0216
2015-01-07,155.05,157.2,157.2,154.03,4700000.0,-0.006500000000000001
2015-01-08,158.42,156.24,159.04,155.55,4240000.0,0.0217
2015-01-09,159.11,158.42,160.34,157.25,4490000.0,0.0044
2015-01-12,156.44,159.0,159.25,155.76,4190000.0000000005,-0.0168
2015-01-13,156.81,157.26,159.97,155.68,4380000.0,0.0024
2015-01-14,155.8,154.86,156.49,153.74,4690000.0,-0.0064
2015-01-15,154.57,156.69,156.97,154.16,4250000.0,-0.0079
2015-01-16,157.14,153.82,157.63,153.82,5760000.0,0.0166
2015-01-20,156.95,156.7,157.33,154.03,8390000.0,-0.0012
2015-01-21,152.09,153.03,154.5,151.07,11900000.0,-0.031
2015-01-22,155.39,151.94,155.72,151.76,6120000.0,0.0217
2015-01-23,155.87,155.03,157.6,154.89,4830000.0,0.0031
2015-01-26,156.36,158.26,159.46,155.77,7890000.0,0.0031
2015-01-27,153.67,154.94,155.09,152.59,5660000.0,-0.0172
2015-01-28,151.55,154.0,154.53,151.55,4500000.0,-0.0138
2015-01-29,155.48,151.38,155.58,149.52,8320000.0,0.0259
2015-01-30,153.31,153.91,155.24,153.04,6560000.0,-0.013999999999999999
2015-02-02,154.66,154.0,154.66,151.51,4710000.0,0.0088
2015-02-03,158.47,154.75,158.6,154.75,5540000.0,0.0246
2015-02-04,156.96,157.21,158.71,156.7,3680000.0,-0.0095
2015-02-05,157.91,157.29,158.59,157.15,5250000.0,0.0060999999999999995
2015-02-06,156.72,157.34,158.08,156.23,3260000.0,-0.0075
2015-02-09,155.75,156.0,157.5,155.4,3060000.0,-0.0062
2015-02-10,158.56,156.74,158.56,155.08,4440000.0,0.018000000000000002
2015-02-11,158.2,157.76,159.09,157.17,3630000.0,-0.0023
2015-02-12,158.52,158.72,159.5,158.09,3330000.0,0.002
2015-02-13,160.4,158.78,160.8,158.64,3710000.0,0.011899999999999999
2015-02-17,160.96,159.75,161.41,159.73,2890000.0,0.0034999999999999996
2015-02-18,162.19,161.86,162.47,160.64,4360000.0,0.0076
2015-02-19,163.89,162.05,164.49,161.44,3500000.0,0.0105
2015-02-20,163.65,163.64,164.34,162.09,3350000.0,-0.0015
2015-02-23,162.91,164.23,164.4,162.5,2710000.0,-0.0045000000000000005
2015-02-24,164.83,162.49,164.99,161.51,4700000.0,0.0118
2015-02-25,162.81,164.94,164.96,162.58,4000000.0,-0.0123
2015-02-26,160.87,163.74,164.14,159.77,7110000.0,-0.011899999999999999
2015-02-27,161.94,161.05,162.29,160.16,4410000.0,0.0067
2015-03-02,160.48,161.68,161.89,159.81,5920000.0,-0.009000000000000001
2015-03-03,161.03,160.27,161.75,160.0,3230000.0,0.0034000000000000002
2015-03-04,159.42,160.54,160.56,158.72,3630000.0,-0.01
2015-03-05,161.18,159.86,161.5,159.7,3790000.0,0.011000000000000001
2015-03-06,158.5,160.19,161.44,158.06,4540000.0,-0.0166
2015-03-09,160.77,158.2,161.15,158.2,5190000.0,0.0143
2015-03-10,157.81,159.6,160.23,157.81,4600000.0,-0.0184
2015-03-11,156.8,158.57,159.14,155.94,5710000.0,-0.0064
2015-03-12,157.98,156.27,158.72,156.27,4570000.0,0.0075
2015-03-13,154.28,157.46,157.52,153.4,6060000.0,-0.023399999999999997
2015-03-16,157.08,155.05,157.09,154.8,3750000.0,0.0181
2015-03-17,156.96,156.2,157.29,155.37,3310000.0,-0.0008
2015-03-18,159.81,156.85,160.7,155.8,5740000.0,0.0182
2015-03-19,159.81,159.7,160.92,158.81,3880000.0,0.0
2015-03-20,162.88,160.95,163.0,160.35,9010000.0,0.0192
